0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
4.46667,1.95497,1.9551,1.95427,1.9518,1.95181,1.95462,1.95556,1.95491,1.95497,1.95436,1.95436,1.95436,1.95434,1.95429,38.41579,30.0294,34.81219,32.39669,29.07813,7.69019,2.92631,1.95479,1.95432,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
1.82329,1.8221,1.8221,1.82234,1.82234,1.82259,1.82224,1.82258,1.82258,1.82227,1.82213,1.82213,1.82204,1.82203,1.82232,0.0,7.28063,12.28143,12.46203,7.57006,8.14,1.82224,1.82224,1.82281,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.05882,7.05882
57.80251,57.78157,58.83386,58.81781,59.26268,58.79015,58.53394,58.17102,59.24807,59.37142,60.27833,59.28625,58.81289,59.83871,59.79464,60.33657,58.10877,59.06887,57.64538,57.46932,59.03561,58.91457,58.09756,55.31997,477.77598,417.46015,411.30567,411.61311,409.83598,413.81283,407.45164,416.69238,370.03671,374.02724,352.64108,212.35229,223.71146,227.73201,233.85939,221.30292,126.04324,112.01832,111.15592,97.84778,106.34748,100.1375,106.15901,122.10883
224.65312,170.94242,170.79857,169.5729,167.51388,115.42144,70.26415,110.57128,105.56,196.77558,203.15064,123.92479,137.79726,86.75273,90.43746,78.92289,63.71488,35.08044,34.16743,28.05178,35.63677,43.63041,43.79915,55.85175,268.24333,269.01628,411.19724,433.57191,427.64872,428.07068,443.33333,279.77597,241.71192,283.92171,557.82244,552.12772,549.86272,804.71177,795.65096,779.08678,741.74297,807.84319,821.40625,945.83346,950.65027,706.36768,702.61518,214.43983
27.40909,26.69978,23.95544,24.0679,23.09242,0.0,0.0,0.0,26.38147,26.6891,27.26617,27.25028,27.44253,26.65126,27.02404,26.62403,27.52957,29.28669,27.71766,27.30695,27.34312,27.38835,27.26135,21.6688,55.91755,57.97056,23.04215,23.42656,26.16696,22.62937,21.5256,13.13402,9.42841,9.3671,9.34262,8.94855,8.94855,13.87349,13.79478,12.27065,9.28608,8.94472,9.40653,8.9443,9.03942,8.99331,8.95851,40.58982
19.48934,17.88626,16.72274,16.20674,15.97212,16.05894,20.46436,20.2665,22.04429,21.9578,22.13459,22.23594,5.05333,5.03333,17.15639,17.51585,17.43389,17.81863,17.70563,18.07188,17.75383,17.19405,18.11403,17.70529,37.00622,28.51165,30.12674,73.16704,53.92227,76.12617,74.39633,74.78498,67.34528,36.08937,35.68013,14.94932,14.86428,14.83729,14.99395,10.54224,10.5782,10.3935,10.22557,10.40755,89.03372,321.95072,322.75279,323.23872
12.98239,10.36326,8.47271,8.57232,9.06353,9.0277,0.0,5.69542,5.71,0.0,5.79,5.42573,0.0,0.0,0.0,15.12616,15.75277,24.08818,22.47942,23.33542,18.41748,18.35574,11.88535,0.0,152.36899,291.45517,287.75927,563.82486,531.10947,262.01717,269.67791,253.88763,14.66545,12.63529,11.62054,12.37987,11.64606,11.29411,11.06038,11.09537,10.47039,8.35008,9.34414,9.05607,11.34393,13.4778,13.2215,11.60065
14.02598,13.99943,14.04598,13.88306,13.95108,14.20651,14.52015,14.96633,15.28815,15.96485,16.47373,16.6259,15.60723,15.60602,14.44828,14.69244,15.11655,14.51229,14.44809,14.24739,14.3892,14.16475,13.92423,12.3807,39.72165,39.54186,37.55707,37.67025,36.68869,44.19195,62.57007,95.33902,92.22938,107.80828,93.64195,74.17184,74.23142,77.5275,49.34359,42.4019,30.94851,28.33018,21.74057,34.48362,34.89756,30.33455,32.50396,39.98459
27.62137,28.16867,29.25932,29.55643,28.9365,29.18215,29.30083,29.43143,29.67644,29.9492,30.04833,29.80099,29.39054,29.39254,29.72925,28.36222,28.08899,28.93241,29.3147,29.77016,28.92232,28.98596,29.65371,27.42888,150.35862,150.01585,153.9881,157.34636,152.52404,145.38117,145.12276,56.79167,56.99651,59.08382,65.13252,67.71318,67.66344,65.45243,61.88047,56.77848,49.04778,49.80752,49.66779,49.69329,51.78799,52.98703,55.95319,58.43941
110.89819,109.98401,101.64826,103.11733,117.25066,226.96791,215.64883,217.74973,150.8,150.45355,149.66742,118.23163,112.38894,109.8634,110.13852,109.80206,111.85253,114.17268,111.83054,123.00136,137.17615,134.22835,137.99894,93.6548,42.0,42.0,62.14286,64.74026,43.91304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,39.75806,35.88235
