Names,EU,ED,Spot,LU,LD
EU,1.0,-0.258,0.0647,0.18,-0.0255
ED,-0.258,1.0,-0.1629,-0.3518,0.1945
Spot,0.0647,-0.1629,1.0,0.4761,-0.4378
LU,0.18,-0.3518,0.4761,1.0,0.0235
LD,-0.0255,0.1945,-0.4378,0.0235,1.0
