Names,EU,ED,Spot,LU,LD
EU,0.1103,-0.3556,2.6395,1.5357,-0.4093
ED,-0.3556,17.2084,-82.9823,-37.4858,39.0513
Spot,2.6395,-82.9823,15074.2888,1501.4476,-2601.4942
LU,1.5357,-37.4858,1501.4476,659.8142,29.2215
LD,-0.4093,39.0513,-2601.4942,29.2215,2342.7292
