Names,EU,ED,Spot,LU,LD
EU,1.0,-0.3181,0.1161,0.0532,-0.062
ED,-0.3181,1.0,-0.0838,-0.0995,0.0974
Spot,0.1161,-0.0838,1.0,0.2491,-0.4463
LU,0.0532,-0.0995,0.2491,1.0,-0.0574
LD,-0.062,0.0974,-0.4463,-0.0574,1.0
