Names,EU,ED,Spot,LU,LD
EU,1.0,-0.5664,0.0649,0.0941,-0.0686
ED,-0.5664,1.0,-0.0292,-0.1447,0.0254
Spot,0.0649,-0.0292,1.0,0.0925,-0.3997
LU,0.0941,-0.1447,0.0925,1.0,-0.0952
LD,-0.0686,0.0254,-0.3997,-0.0952,1.0
