Names,EU,ED,Spot,LU,LD
EU,0.2691,-0.5048,4.7451,3.8604,-8.1939
ED,-0.5048,2.9528,-7.0642,-19.6765,10.0471
Spot,4.7451,-7.0642,19844.3701,1030.7632,-12964.1587
LU,3.8604,-19.6765,1030.7632,6260.688,-1735.1229
LD,-8.1939,10.0471,-12964.1587,-1735.1229,53016.3084
