Var,Scenario,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
qEU,0,7.58,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,6.4,4.67,0.0
qED,0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qSpot,0,2.42,-2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,-0.67,0.0,0.0,0.0,2.0,-2.0,6.0,-5.6,5.33,-2.42
qLU,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
qLD,0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.4,8.0,7.58
bC,0,5.0,2.67,4.67,2.67,2.67,2.67,4.67,6.67,6.67,4.67,2.67,2.67,2.67,4.67,6.67,7.33,7.33,7.33,7.33,5.33,7.33,2.13,7.33,2.67
