Names,EU,ED,Spot,LU,LD
EU,3.7286,0.1548,-70.8602,-17.092,0.9902
ED,0.1548,0.0098,-4.5656,-0.5464,0.0032
Spot,-70.8602,-4.5656,11865.7488,169.3293,27.8973
LU,-17.092,-0.5464,169.3293,814.4914,-12.312
LD,0.9902,0.0032,27.8973,-12.312,3.3052
