Names,EU,ED,Spot,LU,LD
EU,1.0,-0.9276,0.0807,0.1304,-0.0957
ED,-0.9276,1.0,-0.0371,-0.112,0.0937
Spot,0.0807,-0.0371,1.0,0.243,-0.3803
LU,0.1304,-0.112,0.243,1.0,-0.0464
LD,-0.0957,0.0937,-0.3803,-0.0464,1.0
