Names,EU,ED,Spot,LU,LD
EU,60.2603,-1.2599,88.4128,80.0239,-137.721
ED,-1.2599,0.0306,-0.9145,-1.55,3.0365
Spot,88.4128,-0.9145,19899.9719,2711.0195,-9942.4771
LU,80.0239,-1.55,2711.0195,6253.3593,-680.5924
LD,-137.721,3.0365,-9942.4771,-680.5924,34338.16
