Var,Scenario,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
qEU,0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEU,1,8.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEU,2,8.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEU,3,8.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qED,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qED,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qED,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qED,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qSpot,0,2.0,0.33,-2.0,-0.67,-2.0,0.0,0.0,0.0,7.33,-0.43,0.0,0.0,0.0,-2.0,-2.0,-0.67,0.67,2.0,2.0,0.0,0.0,0.0,-0.33,-2.0
qSpot,1,2.0,0.33,-2.0,-0.67,-2.0,0.0,0.0,0.0,7.33,-0.43,0.0,0.0,0.0,-2.0,-2.0,-0.67,0.67,2.0,2.0,0.0,0.0,0.0,-0.33,-2.0
qSpot,2,-2.0,5.27,-2.0,-2.0,0.0,0.0,7.33,0.53,0.0,0.0,0.0,-2.0,-2.0,-0.67,0.0,0.0,1.6,1.6,7.33,1.6,1.6,1.6,1.6,-2.0
qSpot,3,2.0,0.33,-2.0,-0.67,-2.0,0.0,0.0,0.0,7.33,-0.43,0.0,0.0,0.0,-2.0,-2.0,-0.67,0.67,2.0,2.0,0.0,0.0,0.0,-0.33,-2.0
qLU,0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,4.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
qLU,1,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,4.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
qLU,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
qLU,3,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,4.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
qLD,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
qLD,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
qLD,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
qLD,3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
bC,0,5.0,3.0,2.67,4.67,5.33,7.33,7.33,7.33,7.33,1.6,2.67,2.67,2.67,2.67,4.67,6.67,7.33,6.67,4.67,2.67,2.67,2.67,2.67,3.0
bC,1,5.0,3.0,2.67,4.67,5.33,7.33,7.33,7.33,7.33,1.6,2.67,2.67,2.67,2.67,4.67,6.67,7.33,6.67,4.67,2.67,2.67,2.67,2.67,3.0
bC,2,5.0,7.0,3.33,5.33,7.33,7.33,7.33,1.6,2.67,2.67,2.67,2.67,4.67,6.67,7.33,7.33,7.33,7.33,7.33,1.6,1.6,1.6,1.6,1.6
bC,3,5.0,3.0,2.67,4.67,5.33,7.33,7.33,7.33,7.33,1.6,2.67,2.67,2.67,2.67,4.67,6.67,7.33,6.67,4.67,2.67,2.67,2.67,2.67,3.0
