Names,EU,ED,Spot,LU,LD
EU,1.6601,-0.0493,4.4383,5.8096,-6.6818
ED,-0.0493,0.0034,-0.1096,-0.4206,0.5414
Spot,4.4383,-0.1096,18451.0159,1461.3472,-2637.8334
LU,5.8096,-0.4206,1461.3472,565.4329,-90.2872
LD,-6.6818,0.5414,-2637.8334,-90.2872,2966.1514
