Names,EU,ED,Spot,LU,LD
EU,1.0,-0.6545,0.0254,0.1896,-0.0952
ED,-0.6545,1.0,-0.0138,-0.3028,0.1702
Spot,0.0254,-0.0138,1.0,0.4524,-0.3566
LU,0.1896,-0.3028,0.4524,1.0,-0.0697
LD,-0.0952,0.1702,-0.3566,-0.0697,1.0
