Names,EU,ED,Spot,LU,LD
EU,1.0,0.033,0.0574,0.0463,-0.0167
ED,0.033,1.0,-0.1084,-0.1067,0.0897
Spot,0.0574,-0.1084,1.0,0.2832,-0.2613
LU,0.0463,-0.1067,0.2832,1.0,0.0728
LD,-0.0167,0.0897,-0.2613,0.0728,1.0
