Names,EU,ED,Spot,LU,LD
EU,1.507,0.0159,8.4905,3.1789,-2.3797
ED,0.0159,0.1537,-5.1161,-2.3422,4.088
Spot,8.4905,-5.1161,14501.0914,1908.8863,-3655.2661
LU,3.1789,-2.3422,1908.8863,3132.7595,473.7196
LD,-2.3797,4.088,-3655.2661,473.7196,13498.6131
