Names,EU,ED,Spot,LU,LD
EU,1.0,-0.79,0.072,0.1251,-0.091
ED,-0.79,1.0,-0.0754,-0.0738,0.0847
Spot,0.072,-0.0754,1.0,0.0451,-0.4164
LU,0.1251,-0.0738,0.0451,1.0,0.0238
LD,-0.091,0.0847,-0.4164,0.0238,1.0
