Names,EU,ED,Spot,LU,LD
EU,1.0,0.713,-0.0189,-0.0677,0.0619
ED,0.713,1.0,-0.0733,-0.1107,0.0851
Spot,-0.0189,-0.0733,1.0,0.2871,-0.2594
LU,-0.0677,-0.1107,0.2871,1.0,0.0728
LD,0.0619,0.0851,-0.2594,0.0728,1.0
