Names,EU,ED,Spot,LU,LD
EU,0.9897,1.5687,-2.2779,-3.7713,7.1574
ED,1.5687,4.8911,-19.6454,-13.6972,21.8578
Spot,-2.2779,-19.6454,14680.9512,1946.7714,-3651.0977
LU,-3.7713,-13.6972,1946.7714,3132.7595,473.7196
LD,7.1574,21.8578,-3651.0977,473.7196,13498.6131
