Names,EU,ED,Spot,LU,LD
EU,1.0,-0.79,0.1338,0.1093,-0.0967
ED,-0.79,1.0,-0.1234,-0.0805,0.0839
Spot,0.1338,-0.1234,1.0,0.2766,-0.2961
LU,0.1093,-0.0805,0.2766,1.0,0.0417
LD,-0.0967,0.0839,-0.2961,0.0417,1.0
