Names,EU,ED,Spot,LU,LD
EU,1.0,-0.994,0.1082,0.1378,-0.0975
ED,-0.994,1.0,-0.1138,-0.1407,0.1011
Spot,0.1082,-0.1138,1.0,0.2416,-0.4103
LU,0.1378,-0.1407,0.2416,1.0,-0.0549
LD,-0.0975,0.1011,-0.4103,-0.0549,1.0
