0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
79.45,83.54545,79.57447,76.0,0.0,0.0,0.0,123.14133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.68266,93.33218,98.1324,66.62491,14.1583,14.1583,14.1583,14.1583,14.1583,0.0,0.0,0.0,0.0,0.0,0.0,77.56646,77.56646,164.47853,164.47853,167.39211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4902
43.65503,98.31238,120.77858,113.31348,81.6206,42.89,0.0,17.85736,0.0,0.0,0.0,0.0,0.0,0.0,49.38743,49.5752,52.47226,53.35176,51.98077,51.78275,42.58175,42.07344,45.8663,47.09325,256.23913,266.37615,242.71915,183.61023,182.76596,144.15789,105.71647,97.32738,70.61142,70.36552,70.26366,55.51212,135.72833,135.55625,135.71302,66.55127,42.91496,13.78033,17.30899,9.43529,11.66307,166.64058,249.41518,222.62434
142.8647,152.35149,175.0,147.29226,198.75,179.1543,187.53027,223.02681,196.14527,190.89678,223.93943,233.82909,252.8051,253.04348,225.72481,242.3492,255.22276,242.29302,222.33175,221.96147,226.50469,235.66937,201.22571,156.49717,68.57143,68.57143,73.57143,73.57143,69.16667,69.16667,69.16667,87.85714,87.91667,87.85714,73.71428,70.30333,74.16667,74.16667,74.16667,74.16667,67.0,67.88462,67.85714,67.85714,67.85714,67.85714,67.85714,68.53932
45.81785,45.85229,45.6814,46.02814,45.93911,46.17199,46.66787,47.43263,47.32178,47.31681,47.33034,50.81479,50.16181,49.95648,48.82574,50.5821,46.49427,47.25573,47.71162,47.60912,50.06549,51.3646,50.53639,48.29035,109.11245,108.97793,109.11758,108.68461,104.80798,91.83977,86.75135,82.81286,81.29894,80.91484,80.86079,81.08188,83.68842,84.60754,84.21786,85.24352,85.78272,83.00171,79.47753,79.3974,82.86995,81.9018,85.02765,94.7304
52.67955,52.20527,50.40789,50.79489,54.36962,57.3804,52.51309,50.98945,49.9056,55.20274,51.66413,51.25758,50.08189,48.20517,51.20001,51.61151,48.65436,55.28343,50.16406,52.24032,51.06524,50.39379,49.2836,58.47225,147.9579,148.39792,145.61359,146.8962,141.31771,92.69559,93.70687,87.72286,86.91387,86.84439,94.60069,159.38507,162.96982,158.88131,262.17576,276.75678,255.37473,256.6663,273.69989,247.15269,406.04779,407.70303,410.0205,301.62427
14.68342,13.66101,14.74236,15.24174,0.0,0.0,9.43574,11.40567,14.94151,16.34969,12.8465,11.90956,12.46632,11.31695,30.57595,36.0,25.8348,35.96848,24.66871,23.13099,18.30781,17.75203,17.33021,14.79243,10.85115,10.85092,10.6069,12.12194,10.38282,8.80161,7.75205,6.74199,6.57025,7.16818,6.9022,6.9759,7.54507,7.21937,6.93719,6.36407,5.88672,5.85866,5.28525,4.97952,4.62278,5.53706,6.14575,6.54016
57.80251,57.78157,58.83386,58.81781,59.26268,58.79015,58.53394,58.17102,59.24807,59.37142,60.27833,59.28625,58.81289,59.83871,59.79464,60.33657,58.10877,59.06887,57.64538,57.46932,59.03561,58.91457,58.09756,55.31997,477.77598,417.46015,411.30567,411.61311,409.83598,413.81283,407.45164,416.69238,370.03671,374.02724,352.64108,212.35229,223.71146,227.73201,233.85939,221.30292,126.04324,112.01832,111.15592,97.84778,106.34748,100.1375,106.15901,122.10883
23.84535,20.60727,0.0,21.61765,21.1931,25.73495,24.66138,24.01449,23.53553,23.00444,25.11739,24.78255,24.99863,24.14268,24.36097,21.92615,21.71624,22.24812,22.45383,23.05373,23.41366,23.342,23.12751,22.36516,67.81983,81.43527,60.27354,53.56637,63.40413,53.1181,64.60729,167.20515,167.23717,245.47923,193.74818,188.72581,166.21879,149.33489,154.45523,69.59328,39.94186,40.12724,39.92226,39.24068,38.91821,69.63189,65.83469,58.88737
19.63338,12.50162,12.75641,237.12766,237.12766,125.88306,504.47086,500.55057,530.93269,565.61254,567.10478,530.98645,564.97005,555.49913,611.90322,411.29579,407.75571,337.35467,343.25266,343.2347,362.3403,318.70552,317.64719,204.31693,2.33542,2.48844,2.64102,2.82761,2.60864,2.63298,1.63654,1.81837,1.91948,2.31658,2.53275,2.39251,2.83945,2.64306,2.28202,2.6825,2.88581,2.3883,2.3531,2.79285,2.07244,2.47515,2.32541,2.3746
0.0,0.0,0.0,0.0,0.0,0.0,28.43958,53.65551,54.9861,42.45934,47.19,57.13844,57.11315,57.91662,61.81018,63.1062,61.46931,61.64595,62.2609,61.60864,57.5277,29.32864,0.0,44.3286,78.82516,78.82516,78.80903,79.04566,69.88292,67.10586,73.78308,53.71933,52.76476,51.05009,50.68526,50.50337,51.82336,50.77205,50.93796,50.93796,50.93796,50.95118,50.95118,51.02614,59.37132,57.72587,58.84457,66.57574
