Names,EU,ED,Spot,LU,LD
EU,15.0913,-106.8918,57.9387,42.5771,-70.0436
ED,-106.8918,766.2146,-434.3213,-309.7376,517.2772
Spot,57.9387,-434.3213,18995.8958,2647.7888,-10455.352
LU,42.5771,-309.7376,2647.7888,6321.6251,-806.4505
LD,-70.0436,517.2772,-10455.352,-806.4505,34182.7395
