Names,EU,ED,Spot,LU,LD
EU,1.0,-0.4583,0.0976,0.0844,-0.0935
ED,-0.4583,1.0,-0.1292,-0.1283,0.105
Spot,0.0976,-0.1292,1.0,0.2755,-0.416
LU,0.0844,-0.1283,0.2755,1.0,-0.0573
LD,-0.0935,0.105,-0.416,-0.0573,1.0
