Names,EU,ED,Spot,LU,LD
EU,1.0,-0.2658,0.1205,0.0673,-0.0549
ED,-0.2658,1.0,0.0045,0.0265,-0.0382
Spot,0.1205,0.0045,1.0,0.2715,-0.287
LU,0.0673,0.0265,0.2715,1.0,0.0428
LD,-0.0549,-0.0382,-0.287,0.0428,1.0
