Names,EU,ED,Spot,LU,LD
EU,1.0,-0.9017,0.1068,0.0964,-0.095
ED,-0.9017,1.0,-0.0891,-0.0923,0.0903
Spot,0.1068,-0.0891,1.0,0.2714,-0.2969
LU,0.0964,-0.0923,0.2714,1.0,0.0425
LD,-0.095,0.0903,-0.2969,0.0425,1.0
