Names,EU,ED,Spot,LU,LD
EU,2.0571,1.4453,13.0016,1.4848,1.104
ED,1.4453,54.0399,-60.4312,-46.6132,78.5738
Spot,13.0016,-60.4312,14598.8529,1951.4809,-3555.013
LU,1.4848,-46.6132,1951.4809,3132.7595,473.7196
LD,1.104,78.5738,-3555.013,473.7196,13498.6131
