Names,EU,ED,Spot,LU,LD
EU,1.2031,-0.5616,17.247,7.4097,-16.7349
ED,-0.5616,0.3793,-9.1009,-4.9864,9.18
Spot,17.247,-9.1009,18170.2593,2258.6094,-7451.2852
LU,7.4097,-4.9864,2258.6094,4616.1247,-175.8134
LD,-16.7349,9.18,-7451.2852,-175.8134,22034.528
