Names,EU,ED,Spot,LU,LD
EU,1.0,-0.8314,0.1166,0.0994,-0.1028
ED,-0.8314,1.0,-0.1096,-0.1192,0.1004
Spot,0.1166,-0.1096,1.0,0.2466,-0.3724
LU,0.0994,-0.1192,0.2466,1.0,-0.0174
LD,-0.1028,0.1004,-0.3724,-0.0174,1.0
