Names,EU,ED,Spot,LU,LD
EU,15.4558,-13.3583,52.2173,42.6909,-94.1941
ED,-13.3583,17.5147,-65.0809,-44.0042,102.4201
Spot,52.2173,-65.0809,13414.7547,2946.311,-13432.5825
LU,42.6909,-44.0042,2946.311,9851.67,-1425.2246
LD,-94.1941,102.4201,-13432.5825,-1425.2246,59017.9831
