Names,EU,ED,Spot,LU,LD
EU,0.0386,0.295,-0.7347,-0.2274,4.3858
ED,0.295,78.8189,-81.4364,-58.7614,409.262
Spot,-0.7347,-81.4364,1763.3368,253.4091,-10048.0041
LU,-0.2274,-58.7614,253.4091,7454.3532,-475.4574
LD,4.3858,409.262,-10048.0041,-475.4574,113079.9282
