0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
54.56531,52.39673,51.16644,55.3957,55.81708,54.77316,57.1124,62.15119,66.71319,65.45767,64.41135,60.3735,60.49514,58.55301,58.22606,57.91863,57.66959,59.2656,57.70828,57.84416,58.74317,60.09896,58.46715,44.79244,176.10116,176.28421,176.56977,176.37188,142.55028,121.42448,127.50399,102.9083,101.93925,106.54941,110.25918,115.71319,120.02989,118.99322,123.52982,117.63259,111.31805,107.0821,104.3997,109.99942,121.65991,139.10027,146.54559,138.09863
55.48918,54.81473,54.67084,55.23405,56.25801,57.28578,59.99022,71.61387,71.5837,78.93177,75.16828,78.64703,66.09371,65.44379,70.79999,73.25544,75.13053,75.62506,75.79029,67.59466,66.32456,65.07527,54.15629,52.23863,14.63266,17.5,17.5,17.5,17.5,13.72688,13.53807,13.54882,13.4964,13.50491,13.40988,13.39718,13.34442,13.40546,13.42714,13.3943,13.34255,13.32161,13.26788,13.266,12.6708,12.27384,11.80952,12.17998
17.9116,17.65218,17.89777,17.81172,17.57206,16.87651,18.41887,18.71534,19.06782,19.10204,19.13267,17.61937,17.31645,17.30317,17.32115,18.57298,20.20714,24.65391,21.35028,20.12993,20.01693,20.03582,19.12299,18.91494,46.16811,48.10894,50.3574,52.29979,51.63986,46.34264,43.05803,39.63919,36.77724,35.48252,35.31047,35.28083,35.77519,35.75086,36.57747,38.18835,36.13167,36.11613,35.15366,35.29342,36.13648,41.53552,39.65869,45.13561
33.59704,32.19849,30.91709,30.98551,33.86444,33.53146,33.795,31.81207,32.63338,32.69343,31.92216,31.23736,31.08741,30.2524,30.32493,30.7985,31.76234,32.08103,31.906,32.07597,32.00795,31.0862,31.09264,35.84462,282.53664,277.55051,270.25805,281.46025,235.52003,208.21892,211.1909,154.033,146.8659,140.95109,148.80302,158.52304,170.73124,149.10544,144.51068,152.91599,163.18625,164.5491,163.79904,157.52959,163.47891,157.07146,176.23822,213.59356
66.18071,64.54774,0.0,0.0,47.93544,1.87698,12.16,0.0,43.16707,50.77854,68.0,78.2074,71.5185,68.35922,68.51679,67.0914,71.32045,79.08783,75.13743,76.13618,74.58558,86.63801,62.63254,0.0,230.94525,229.71869,230.92288,230.36841,231.68601,164.28591,166.97451,172.03767,159.96316,163.50926,147.03598,143.8608,99.57281,112.26764,111.50442,109.17624,111.37085,168.27174,168.11303,168.61704,211.59633,320.7613,315.66965,928.24843
37.99252,37.37891,36.88443,37.42004,36.54669,35.33765,35.85932,36.81464,36.40655,35.76908,37.22955,37.66069,36.9672,36.92073,37.14926,37.63974,38.3467,37.82981,37.81895,37.45929,37.11099,37.0761,37.15565,35.71301,110.28976,110.3265,106.22871,107.42267,97.71362,84.64347,81.51432,78.3602,80.65728,78.68611,78.62002,76.88589,78.7643,76.97566,77.24092,79.32606,79.07962,79.0727,79.2231,79.56524,79.12989,79.60049,88.42428,150.49223
111.91639,104.27054,104.38827,88.10531,88.15712,89.53935,147.96374,145.55489,184.67375,132.50146,133.52617,98.16694,83.13104,81.18301,51.10406,47.30772,48.23411,48.53457,41.96628,42.45817,42.61321,76.07483,83.8309,81.39252,1372.86434,1630.14626,1630.14733,971.0819,1064.26061,661.98848,624.97564,619.1254,570.74958,1199.78354,1207.57687,1151.45056,1141.77348,1164.61345,375.44184,323.30875,169.69666,169.66756,177.37984,788.91499,1203.8736,1198.55919,945.30483,945.65862
19.63338,12.50162,12.75641,237.12766,237.12766,125.88306,504.47086,500.55057,530.93269,565.61254,567.10478,530.98645,564.97005,555.49913,611.90322,411.29579,407.75571,337.35467,343.25266,343.2347,362.3403,318.70552,317.64719,204.31693,2.33542,2.48844,2.64102,2.82761,2.60864,2.63298,1.63654,1.81837,1.91948,2.31658,2.53275,2.39251,2.83945,2.64306,2.28202,2.6825,2.88581,2.3883,2.3531,2.79285,2.07244,2.47515,2.32541,2.3746
6.84717,7.70891,7.70493,7.7159,8.64114,8.98724,9.47638,9.49727,10.11915,10.19331,10.80521,10.96719,7.9971,6.99054,10.50649,10.07787,10.89882,11.03295,10.90111,10.98862,10.46724,10.47398,10.27018,0.0,217.54868,305.56837,424.52406,389.09891,311.8621,223.24143,128.17297,63.80874,34.88749,29.07881,27.70473,27.48232,28.05269,27.40588,27.26229,27.28254,27.31909,26.91698,25.57821,25.08644,26.7012,28.68896,55.14839,67.70888
67.78928,71.60478,82.77079,80.95064,88.4749,84.95107,86.36328,76.6916,77.00043,76.55455,75.10487,73.71204,69.35827,70.30676,72.00288,76.63787,76.42067,79.05054,78.95245,78.31231,80.68047,82.97042,82.45989,105.57217,203.0963,202.97533,909.06137,910.0,919.12345,182.44358,192.14407,162.41424,142.60398,142.06041,310.52632,1421.18421,1311.08002,1325.95672,1260.36828,953.42052,810.578,229.31013,228.43116,186.26786,227.70865,237.5248,237.23098,679.59138
5.0091,1.85107,1.85183,1.85598,1.87039,1.87163,1.87163,2.38865,1.89741,1.89167,2.25414,7.62076,8.13943,7.01423,10.75,9.66839,10.28489,11.74929,12.64224,12.72214,11.13082,8.75,8.21385,7.66221,9.5288,9.5288,9.5288,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744
224.65312,170.94242,170.79857,169.5729,167.51388,115.42144,70.26415,110.57128,105.56,196.77558,203.15064,123.92479,137.79726,86.75273,90.43746,78.92289,63.71488,35.08044,34.16743,28.05178,35.63677,43.63041,43.79915,55.85175,268.24333,269.01628,411.19724,433.57191,427.64872,428.07068,443.33333,279.77597,241.71192,283.92171,557.82244,552.12772,549.86272,804.71177,795.65096,779.08678,741.74297,807.84319,821.40625,945.83346,950.65027,706.36768,702.61518,214.43983
39.08901,38.76196,35.00152,34.85915,35.14441,33.55515,34.12418,32.07562,32.87287,33.79671,33.63173,34.5036,35.37822,35.94483,35.69449,35.31738,34.22181,30.99669,33.32789,31.93275,34.70078,34.49893,31.68877,32.80599,335.47402,339.32542,374.16319,374.16319,331.75624,313.75631,333.37043,284.40303,297.85435,315.99565,367.62176,370.95147,375.90619,379.39282,385.65442,380.83959,288.07924,251.88048,256.05573,266.04434,259.26798,219.36648,258.66941,242.34042
46.87321,47.68912,47.20887,40.60889,35.91901,76.66667,53.22521,56.65544,64.61151,79.46854,80.61219,86.43413,101.40539,98.50494,189.88268,198.53103,212.48815,219.54988,191.50448,188.60609,192.04116,140.89305,137.13921,132.30146,31.74598,32.39124,32.83833,32.85134,32.42313,31.58721,31.13076,30.09914,30.07049,30.07283,30.05705,30.05705,30.05621,30.0352,29.95438,29.9078,31.15309,30.05077,30.06554,30.02365,30.02554,31.24571,31.23342,31.43218
66.50911,66.5834,65.34756,67.01297,64.82971,72.00222,73.43132,78.93294,78.55629,77.6141,78.63748,77.2493,77.43427,77.12266,76.22175,77.16548,78.03252,96.71115,96.08204,93.20879,93.74718,85.53164,83.25417,68.05247,73.09109,72.49793,72.21737,71.84439,70.04545,72.76224,73.78096,67.31189,67.49458,66.88343,66.97474,66.84866,68.80859,68.83289,72.70032,74.98482,75.56494,69.83554,73.84914,73.18508,72.97636,74.99555,74.64195,70.54499
