Names,EU,ED,Spot,LU,LD
EU,1.0,0.1691,-0.089,-0.0134,0.0664
ED,0.1691,1.0,-0.2184,-0.0767,0.1371
Spot,-0.089,-0.2184,1.0,0.0699,-0.7116
LU,-0.0134,-0.0767,0.0699,1.0,-0.0164
LD,0.0664,0.1371,-0.7116,-0.0164,1.0
