Names,EU,ED,Spot,LU,LD
EU,1.0,0.1169,0.3493,0.5512,0.1095
ED,0.1169,1.0,-0.3231,0.0627,0.5698
Spot,0.3493,-0.3231,1.0,0.2832,-0.2444
LU,0.5512,0.0627,0.2832,1.0,0.0728
LD,0.1095,0.5698,-0.2444,0.0728,1.0
