,index,EU,ED,Spot,LU,LD
0,Mean,49.13655997831066,45.57097987785369,145.70406908396015,48.93984284303657,67.52041723116469
0,1-5-25 0,137.27226625,110.91826875,153.5336953910959,47.730515721461195,58.99490426312787
0,1-5-25 1,64.32144458333333,115.02426708333336,145.9189295167237,46.94321881906391,59.86349515011415
0,1-5-25 2,38.47159666666666,71.33803166666667,154.8964957571918,47.39302657591324,59.39658257420091
0,1-5-25 3,51.842722083333335,5.8658279166666665,154.84914872340184,47.1040722739726,59.61496583105023
0,1-5-25 4,54.96269416666667,116.16028791666666,153.5336953910959,47.73051572146119,58.99490426312787
0,1-5-25 5,28.887862499999997,21.176974999999995,153.50958751329904,47.41087615924658,59.01179437157534
0,1-5-25 6,51.84272208333334,5.8658279166666665,145.9662765505137,46.94321881906392,59.863495150114154
0,1-5-25 7,64.32144458333336,115.02426708333337,154.8964957571918,47.85059778082192,58.64512363299088
0,1-5-25 8,51.84272208333334,5.865827916666668,153.50958751329907,47.410876159246584,59.011794371575355
0,1-5-25 9,42.08791916666668,25.982915000000002,165.96521825753427,47.5709588202055,59.9354065125571
0,1-5-25 10,31.219228333333337,166.21962708333334,147.19928963715756,47.234261699771686,57.632807074771726
0,1-5-25 11,38.47159666666666,71.33803166666665,154.84914872340178,47.57095882020548,59.9354065125571
0,1-5-25 12,37.21753958333332,189.22045416666663,153.67641685182645,47.73051572146118,58.99490426312784
0,1-5-25 13,51.84272208333334,5.865827916666668,154.8964957571918,47.10407227397261,59.614965831050235
0,1-5-25 14,54.96269416666666,116.16028791666666,154.84914872340184,47.57095882020548,59.93540651255708
0,1-5-25 15,137.27226624999997,110.91826875,154.84914872340184,47.1040722739726,59.61496583105023
0,1-5-25 16,51.842722083333314,5.8658279166666665,154.89649575719173,47.41087615924658,59.01179437157534
0,1-5-25 17,54.96269416666666,116.16028791666666,154.84914872340184,47.1040722739726,59.61496583105023
0,1-5-25 18,51.842722083333314,5.8658279166666665,154.84914872340178,47.104072273972584,59.614965831050206
0,1-5-25 19,51.842722083333335,5.8658279166666665,154.8964957571918,47.410876159246584,59.01179437157534
0,1-5-25 20,37.581388749999995,67.00564333333334,145.9189295167237,46.94321881906393,59.86349515011415
0,1-5-25 21,64.3214445833333,115.02426708333327,145.91892951672364,46.9432188190639,59.86349515011414
0,1-5-25 22,51.842722083333335,5.8658279166666665,147.17897040924655,47.20553701141552,60.12903285388126
0,1-5-25 23,64.32144458333335,115.02426708333337,154.84914872340184,47.730515721461195,58.99490426312787
0,1-5-25 24,54.962694166666665,116.16028791666666,145.91892951672375,46.94321881906392,59.86349515011415
0,1-5-25 25,42.83424499999999,23.641047083333333,147.1789704092466,47.20553701141552,60.12903285388126
0,1-5-25 26,64.32144458333333,115.02426708333336,154.84914872340184,47.104072273972605,59.61496583105023
0,1-5-25 27,38.47159666666666,71.33803166666664,154.9193542023402,46.79203274200913,58.60904939554794
0,1-5-25 28,64.32144458333333,115.02426708333336,154.84914872340184,47.1040722739726,59.61496583105023
0,1-5-25 29,105.28615625000003,130.52167500000002,154.89649575719181,47.410876159246584,59.01179437157535
0,1-5-25 30,64.32144458333333,115.02426708333337,153.6523089740297,47.410876159246584,59.01179437157534
0,1-5-25 31,37.217539583333334,189.22045416666666,153.67641685182656,47.730515721461195,58.994904263127864
0,1-5-25 32,64.32144458333332,115.02426708333333,153.63961890559358,47.28692635445205,59.52079372659816
0,1-5-25 33,54.96269416666669,116.16028791666666,165.96521825753425,47.57095882020548,59.9354065125571
0,1-5-25 34,137.27226624999997,110.91826875,154.84914872340178,47.41087615924658,59.01179437157534
0,1-5-25 35,51.84272208333334,5.8658279166666665,153.53369539109593,47.73051572146121,58.994904263127886
0,1-5-25 36,64.32144458333333,115.02426708333336,154.89649575719176,47.410876159246584,59.01179437157534
0,1-5-25 37,51.84272208333332,5.8658279166666665,145.9189295167237,46.94321881906392,59.863495150114154
0,1-5-25 38,51.84272208333334,5.8658279166666665,165.96521825753425,47.5709588202055,59.9354065125571
0,1-5-25 39,54.96269416666666,116.16028791666666,154.84914872340184,47.104072273972605,59.61496583105023
