Names,EU,ED,Spot,LU,LD
EU,878.6146,162.9356,1337.8004,914.5313,377.2712
ED,162.9356,2209.8806,-1962.2495,164.9609,3112.1087
Spot,1337.8004,-1962.2495,16691.5543,2048.0782,-3669.2976
LU,914.5313,164.9609,2048.0782,3132.7595,473.7196
LD,377.2712,3112.1087,-3669.2976,473.7196,13498.6131
