Date,0_EU,1_EU,2_EU,3_EU,4_EU,5_EU,6_EU,7_EU,8_EU,9_EU,10_EU,11_EU,12_EU,13_EU,14_EU,15_EU,16_EU,17_EU,18_EU,19_EU,20_EU,21_EU,22_EU,23_EU,0_ED,1_ED,2_ED,3_ED,4_ED,5_ED,6_ED,7_ED,8_ED,9_ED,10_ED,11_ED,12_ED,13_ED,14_ED,15_ED,16_ED,17_ED,18_ED,19_ED,20_ED,21_ED,22_ED,23_ED,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0_LU,1_LU,2_LU,3_LU,4_LU,5_LU,6_LU,7_LU,8_LU,9_LU,10_LU,11_LU,12_LU,13_LU,14_LU,15_LU,16_LU,17_LU,18_LU,19_LU,20_LU,21_LU,22_LU,23_LU,0_LD,1_LD,2_LD,3_LD,4_LD,5_LD,6_LD,7_LD,8_LD,9_LD,10_LD,11_LD,12_LD,13_LD,14_LD,15_LD,16_LD,17_LD,18_LD,19_LD,20_LD,21_LD,22_LD,23_LD
2022-01-11,38.00107,37.92951,37.31014,37.45878,37.42525,38.13535,38.98212,38.98791,38.95039,39.35928,39.67733,39.13048,39.42035,39.29828,39.24788,39.74238,39.92719,39.9453,39.49819,38.9444,38.82025,38.53556,38.36562,38.65404,24.09228,24.09228,24.09228,24.09228,24.09228,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,22.69231,24.53846,24.53846,24.53846,24.53846,151.899994,148.050003,144.399994,144.149994,145.789993,151.490005,231.440002,291.51001,300.019989,297.160004,275.670013,264.399994,252.589996,248.380005,248.889999,271.230011,282.980011,308.809998,308.320007,279.200012,174.699997,158.210007,155.059998,149.699997,1.94389,1.94149,1.94385,1.94374,1.94142,1.9414,1.94391,1.94488,1.94693,1.9549,1.95436,1.945,1.9451,1.9558,1.96548,37.34008,26.2456,36.08831,29.92111,0.0,12.5721,0.0,1.94798,1.94294,19.44444,19.44444,19.44444,19.44444,19.44444,18.75,18.75,18.75,15.0,15.0,15.0,18.75,18.75,18.75,15.0,15.0,15.0,16.53846,18.75,18.75,18.75,18.75,18.75,18.75
2022-01-12,38.06368,38.03285,37.27671,37.33067,37.30341,37.8702,38.59761,38.77035,39.36186,39.52128,39.51644,39.01727,38.58454,38.57022,38.46539,38.66974,38.5987,38.58688,38.59169,38.40114,37.34817,37.43396,37.17109,37.05003,22.31884,22.31884,22.31884,22.31884,22.31884,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.39767,21.83575,21.83575,22.06811,22.06811,147.619995,145.089996,143.669998,143.410004,144.309998,146.020004,213.869995,266.630005,292.899994,285.709991,268.880005,252.440002,193.759995,143.190002,133.350006,132.589996,132.669998,139.380005,124.589996,105.779999,21.01,20.139999,18.120001,13.62,1.95234,1.94484,1.95295,1.95295,1.945,1.94536,1.95113,1.9479,1.96469,1.95013,1.95026,1.94712,1.94693,1.94898,1.94919,10.30969,28.26931,32.66406,22.21849,9.9994,9.98614,2.91017,1.95549,1.94588,34.23077,41.92308,41.92308,41.92308,41.92308,37.33333,42.0,38.0,38.0,38.0,38.0,38.0,38.0,42.0,39.0,39.0,39.0,32.33333,31.47059,31.47059,45.38462,45.38462,56.0,56.0
2022-01-13,37.43521,37.45531,37.31484,37.35612,37.39118,37.65827,38.03851,38.01182,38.14809,38.19796,38.19522,38.05782,37.96761,38.10662,38.02611,38.04164,38.02008,38.09897,38.00013,37.88273,37.37092,37.54188,37.53209,37.51314,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,21.33333,13.09,11.4,10.57,10.47,10.86,13.23,15.33,21.01,25.629999,25.620001,25.610001,24.219999,21.41,18.219999,17.68,18.82,19.66,36.299999,23.66,19.82,18.059999,17.82,14.92,11.49,8.53734,5.23428,2.94146,2.94146,1.94357,1.94968,1.94918,1.94896,1.95258,1.94467,1.9447,1.94951,1.95013,1.95472,1.95393,7.76,20.473,30.0642,29.09288,27.9996,29.35356,24.45646,13.13493,10.56457,51.53333,51.53333,51.53333,51.53333,51.53333,41.53333,41.53333,41.53333,30.0,30.0,30.0,30.0,30.0,30.0,41.53333,41.53333,41.53333,41.53333,41.53333,41.53333,41.53333,41.53333,36.33333,36.33333
2022-01-14,37.18096,37.16926,37.13784,37.14497,37.1258,37.4713,37.64609,37.57012,37.40743,37.5411,37.52024,37.31469,37.66726,37.86624,37.83552,37.73258,37.88183,37.91463,37.80684,37.72163,37.21981,37.25005,37.24403,37.26609,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,14.93,12.56,11.4,11.42,13.18,16.139999,19.24,44.860001,71.639999,68.730003,75.209999,76.849998,68.379997,52.07,52.09,70.0,133.690002,141.679993,143.550003,145.490005,137.020004,145.630005,145.169998,144.699997,0.0,0.0,1.96364,1.96438,1.94938,1.95428,1.95592,1.95147,1.94527,1.95238,1.95219,1.95238,1.952,1.94534,1.94538,24.13445,30.65695,31.60372,39.47498,34.21624,40.36466,0.0,2.90661,2.90663,46.8,46.8,46.8,47.53333,47.53333,40.13333,40.13333,40.13333,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4
2022-01-15,36.5946,36.34878,36.34852,36.40062,36.37703,36.70924,36.85953,36.79271,36.53103,36.62067,36.59622,36.61349,36.68075,36.6816,36.86141,36.84424,36.78826,36.77,36.61397,36.62356,36.34775,36.21636,36.22224,36.21056,21.5,21.5,21.5,21.5,21.5,21.5,21.69231,21.69231,21.5,21.5,21.5,21.69231,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,160.190002,144.75,144.399994,144.440002,144.759995,146.419998,146.800003,147.220001,191.389999,230.0,209.600006,202.300003,162.619995,157.610001,154.990005,179.910004,220.889999,253.759995,209.839996,153.669998,144.949997,148.550003,144.149994,141.990005,2.915,2.91504,1.95631,1.95621,1.95232,1.95174,1.9574,1.96,1.964,1.96711,2.005,2.00133,2.00133,2.005,2.00923,31.56667,29.67998,32.39382,31.32974,37.3246,7.49053,0.0,0.0,0.0,31.66667,31.66667,31.66667,31.66667,31.66667,31.66667,24.0,24.0,30.33333,32.41176,30.33333,24.0,30.33333,32.41176,30.33333,33.47826,30.33333,29.758,30.33333,30.33333,30.33333,30.33333,30.33333,30.33333
2022-01-16,34.69941,34.52608,34.63259,34.94054,34.89907,35.21221,35.49826,35.50712,35.30755,35.3346,35.40886,35.4129,35.52358,35.57835,35.75998,35.84659,36.04605,36.07162,35.80645,35.91504,35.57524,35.57599,35.61961,35.59096,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,21.23077,133.009995,132.169998,130.0,129.770004,101.239998,17.99,17.969999,18.58,16.85,17.459999,17.530001,16.469999,16.290001,17.389999,17.27,17.51,23.969999,30.84,23.959999,19.389999,17.959999,18.34,17.200001,13.2,4.46667,1.95497,1.9551,1.95427,1.9518,1.95181,1.95462,1.95556,1.95491,1.95497,1.95436,1.95436,1.95436,1.95434,1.95429,38.41579,30.0294,34.81219,32.39669,29.07813,7.69019,2.92631,1.95479,1.95432,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
2022-01-17,33.79056,33.50054,33.79313,33.84456,33.85225,34.32321,34.49103,34.48906,34.14626,33.86405,34.18912,34.3042,34.29963,34.38404,34.54418,34.63266,34.62167,34.77052,34.74355,34.73677,34.27531,34.13604,34.15022,34.22596,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,20.87273,14.95,13.59,12.03,10.09,12.83,17.120001,17.780001,67.580002,70.480003,72.150002,76.830002,76.470001,71.540001,88.870003,101.169998,131.589996,144.869995,150.619995,149.960007,144.759995,143.570007,138.389999,136.029999,80.07,0.0,0.0,0.0,0.0,0.0,0.0,1.99053,0.0,25.3312,29.79345,28.75037,0.0,0.0,0.0,34.06792,35.87812,36.53414,35.78361,32.49096,31.66104,30.41962,29.0077,28.16689,0.0,28.44828,28.44828,28.44828,28.44828,28.44828,31.875,30.725,26.0,21.125,21.125,21.125,21.125,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
2022-01-18,33.74344,33.47508,33.4825,33.7136,33.73665,34.34556,34.48629,34.56339,34.4609,34.39665,34.55016,34.02657,34.15484,34.22427,34.21453,34.13295,34.32555,34.29663,34.19194,34.18994,33.8358,33.7174,33.73656,33.78472,18.83484,18.83484,18.83484,18.83484,18.83484,18.83484,18.83484,18.29806,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.29806,18.83636,79.82,91.550003,91.370003,143.190002,139.669998,145.350006,200.089996,267.140015,287.329987,248.059998,200.089996,200.039993,166.179993,154.600006,149.539993,148.940002,150.259995,151.089996,147.910004,143.770004,127.43,104.959999,96.129997,23.040001,0.0,2.91583,1.95558,1.95626,1.95196,1.95571,2.104,1.96283,1.96167,1.95484,1.95484,1.95484,1.95456,1.95975,1.95928,5.83668,8.71786,21.35296,8.38199,15.2253,19.76184,4.46915,1.95611,1.95606,23.01486,23.52941,23.52941,23.52941,18.43666,15.45454,15.41667,16.0,16.94444,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.36842,17.22222,17.49245
2022-01-19,32.96668,32.79418,32.97649,32.82162,32.78511,33.14784,33.31792,33.42953,33.496,33.30097,33.41496,33.25134,32.96132,33.42446,33.43775,33.30691,33.37084,33.32471,32.79849,32.86569,32.8023,32.83421,32.84121,33.02586,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,19.43559,15.27,15.1,14.85,14.7,14.72,14.92,25.540001,85.0,89.559998,69.279999,70.040001,66.540001,43.130001,25.450001,18.25,23.43,36.66,67.239998,36.360001,15.43,14.36,13.64,13.01,10.86,0.0,0.0,0.0,0.0,0.0,2.006,1.96453,1.96711,1.9675,0.0,0.0,5.355,5.0,1.97484,1.97567,30.32099,37.73562,44.41286,44.9231,60.10135,44.81818,0.0,0.0,1.95987,20.27778,20.27778,20.27778,20.27778,20.27778,20.27778,16.65909,16.65909,16.12195,16.12195,16.12195,16.12195,16.12195,16.12195,16.12195,16.12195,16.12195,16.12195,19.86585,19.86585,19.86585,19.86585,19.86585,19.86585
2022-01-20,30.96886,31.23868,31.22567,31.22759,31.22068,31.75935,31.86211,32.05056,31.74263,31.40956,31.42925,31.47769,31.35253,31.56809,31.63786,31.47048,31.49687,31.43206,31.38332,31.34288,31.13566,31.15728,31.074,31.00228,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,18.95714,10.13,9.28,8.89,8.92,9.63,10.48,12.85,67.290001,91.779999,85.970001,87.120003,69.129997,67.309998,76.550003,73.730003,93.650002,113.300003,134.820007,132.259995,113.279999,99.370003,92.410004,74.900002,45.619999,2.87375,1.9725,1.9725,1.9725,1.9525,1.94448,2.62,1.96167,1.96167,0.0,0.0,0.0,0.0,1.95279,19.37342,31.38654,31.54229,32.6637,30.57112,30.90531,28.45944,15.33631,19.46057,19.22904,20.0,15.8,15.8,15.8,15.8,16.66667,16.66667,16.66667,16.66667,16.66667,16.66667,16.66667,16.66667,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
