Names,EU,ED,Spot,LU,LD
EU,1.0,-0.9017,0.0938,0.1009,-0.1029
ED,-0.9017,1.0,-0.0738,-0.0949,0.0966
Spot,0.0938,-0.0738,1.0,0.235,-0.3591
LU,0.1009,-0.0949,0.235,1.0,-0.0168
LD,-0.1029,0.0966,-0.3591,-0.0168,1.0
